credit_id,user_id,credit_date,credit_amount
6eb20621-31d1-4206-a1a1-146129be9c7f,1878a9a1-1027-4d50-9258-691171cc2882,2024-01-01,825.25
0c372fce-fc02-4446-b3b7-961ab2d71d48,a5b61ff9-c6b5-4c50-9a25-a3751f4d4eb6,2024-01-01,499.88
7d47bd5e-35d1-4551-8154-c5e29cd61515,aee19847-35df-4bf8-a11d-e4d73b2e78c5,2024-01-01,596.01
88d7271c-a130-4f4b-bf06-29a7993e6e0f,ad5183c3-9a24-467e-8f0d-14c00e9a11d6,2024-01-01,888.56
1ed77c5d-6b99-4370-823f-6244b1bc8cad,81df4cc5-1ecb-4d7b-9f7a-3fcaf842d98e,2024-01-01,158.76
a393d175-83fd-45dc-8d35-fad03b7f85d8,05c36ac8-acd5-4219-bf7e-d72045528d59,2024-01-01,279.40999999999997
41c820e0-351b-4b82-bb24-9c228d43fa47,3cc4177e-ac1e-455a-a4e7-2bbeff534fd2,2024-01-01,687.84
80760b32-0fbe-4e25-9675-8580a66099d5,a313d0c4-daf7-4b3a-b6c8-cc2ed90b5548,2024-01-01,109.92999999999999
fb2c4560-c87f-4f86-a067-77a614e23015,7bda4745-867e-459d-9634-afee4a8780dc,2024-01-01,218.93
0f0d490e-7c96-4bed-9ed6-3531d3eadf16,4d055fd6-e3e6-4b90-af00-eaaf96fe2ad8,2024-01-01,162.26
e9ad21c6-5be9-4e29-a2e6-39bd7d79f2ab,12aefff0-e7b4-43df-b6e8-f700f1f842e6,2024-01-01,574.4399999999999
523f927b-7125-492f-b094-7d6d120906a8,ac977728-14ae-4a3d-a6b8-bcb6e5d0f504,2024-01-01,674.65
a04b3a71-5c6e-475e-b436-33f5b10309ad,f932402b-3b68-4bf6-85a8-95c59a4f74f6,2024-01-01,357.03
b88a9e1f-01f3-4ec1-bd39-a45318d473bd,5e914731-974e-404a-95b3-a6750d1367a8,2024-02-01,107.02
154f112e-52c5-463d-a8a6-a70e07201f39,07b8d544-d244-438d-b992-7e9b7dcaff60,2024-02-01,674.66
d031e95b-7acc-41c8-bf38-21a5f00df5c1,6751ac12-f79e-4df5-946e-4fbcdb022e07,2024-02-01,203.74
57d6ac64-b871-497f-9d6d-26206d838caa,42520a12-cb9c-407b-9b84-4427137753be,2024-02-01,874.51
c7a823e5-b1a4-4997-8483-855a758ba101,a8f56c65-74f4-42a6-a2bb-60a7b0ff8de3,2024-02-01,127.97
d3bb0f3d-bc5e-434a-86d6-70936bb12de4,557d1a2d-6829-4028-94c1-86137e1216b7,2024-02-01,709.14
54d9c3f8-fa83-459b-b616-7793cd806094,cdb8cf2c-b0ee-452b-97fa-a993e222c3e2,2024-02-01,512.88
b4102887-8c81-427b-a824-686b770e9f9d,845f6549-9150-4199-aab2-cb840f82ece2,2024-02-01,123.58
ba94c60f-a228-485c-9de1-3b45e712dbc3,1ba3fea7-ed89-4352-8bcb-8e4de4a094a1,2024-02-01,680.41
b475a8bc-2859-460d-9e65-63456516bdbf,85922b58-529e-400e-b5e7-a02a7886d9d4,2024-03-01,844.24
8397d150-d3d2-482e-b102-bf1772b55f22,3dc88e3a-5a7e-4efa-b597-6486851adb9f,2024-03-01,167.81
a49476f8-f098-4513-bf6d-b330e988d9d6,1a4bdb68-6b7e-4f8c-8b6a-ebfae8f96931,2024-03-01,655.41
78818268-c807-4305-97c0-4952d7331ca6,2514c9b3-a3d2-40b4-8c29-b83a695ca6d8,2024-03-01,848.27
81b5bcd3-08d5-43b3-a5b6-766443ae86b0,3642fe50-7c21-4fcc-8bf5-c0234cbab289,2024-03-01,527.08
4001e8bc-cf7b-4822-9b0c-7ebdae5f8e6b,60a75232-93a0-431d-bed9-082fc5325a18,2024-03-01,327.42
cc4511ac-b8de-47a9-b1ea-3f81b9905825,41d01d64-0bb8-4dc1-ac69-11988f94dfaf,2024-03-01,301.61
445a3f5f-0c0c-43a6-9394-3ee72a0ac1ba,aa4e964c-13cb-4f42-9938-26945253dffb,2024-03-01,533.83
46bdb336-465e-42aa-bcb4-0ad85a93c9d2,b2d5b63d-aa9b-461c-9b29-bb9e5273ca9e,2024-04-01,469.68
1f4b2062-2319-4b40-bef6-754dc185c7e9,07659788-5307-4e56-95b3-8b088c042d9a,2024-04-01,770.42
9ecf3145-6ed9-414c-a137-defb408eda13,3086a401-b015-46e6-9f70-4ece087d300d,2024-04-01,786.67
70e7f48c-fb7a-4fc4-ae7f-83eeb43d0c60,714ed893-8df9-4b1e-93c2-9662ac0b830b,2024-04-01,755.8199999999999
e538d5b5-4d28-4e95-9d25-a29c7f986645,91b944dc-7196-407e-b6a5-74d38a4f7e69,2024-04-01,404.31
4bbc2617-52eb-494e-a2f7-99610a42bcc1,9fd459b1-5dc6-4df2-80e4-5a12fff1198f,2024-04-01,363.59999999999997
e12b311a-cd2d-4801-b111-f1300fc425f7,0f2912e9-60b4-4e52-9d7d-02d3b3a81f01,2024-04-01,139.46
80fa1b83-68a0-4931-bbea-67561c383323,daf7c087-2354-4565-be9a-91fea8846fef,2024-04-01,181.65
bf759bd9-7612-4fb1-bdf3-0d98d1dca10f,4f77d475-ca00-4967-928c-71d9aeb4fff4,2024-04-01,356.07
9d480b8e-7c37-44b8-ad7a-f29e2bf1f4fe,962f6aa6-9a3c-4bdc-8a08-eb213c489681,2024-05-01,398.94
1c943c03-eb73-4d59-bc75-ad35b53656b5,1cb725a2-87a7-4960-bf96-2d2e512dcf19,2024-05-01,671.35
570536fa-59d1-419f-913f-132106741694,850b7ccd-1206-411c-ae27-49cb3b256004,2024-05-01,161.91
2d2a9714-878d-4914-8656-7a5e0ee343bc,7b437be0-b9b9-48f3-b0bf-6baaa0c039ca,2024-05-01,594.31
be295fbd-be67-48a4-80cf-205d75b4dc93,3ccfc8d1-a29f-4ea0-b391-d77e4209b67c,2024-05-01,568.4399999999999
58247afe-349b-4181-9998-e7619ec94bc7,85d83431-8f10-4523-9930-1243afda28fc,2024-05-01,749.0
33fe0ee6-8363-4956-ab40-aa8050eed481,51185246-10d0-45c4-9087-f829ebdb5c27,2024-05-01,815.47
e03428fc-bed3-43fa-acd4-9d56d12bda74,12d4e03a-522e-404f-944e-4a392b1eb485,2024-05-01,432.7
46983a00-6ca0-4667-9bf8-fd358fbdc2b5,7912c268-8871-4898-8805-6f145fc2e983,2024-05-01,273.4
